State,District,City,Latitude,Longitude,Population,Area (in km^2),Pop_Density_per_sqkm,Trip Focus,PT_route_km_est,Coverage_km_per_km2,Accessibility_500m_pct,Avg_Trip_km_est,Fare_per_km_INR,Pct_Income_Spent_on_PT_monthly,Ridership_bus_per_day,Ridership_metro_per_day,Ridership_ipt_per_day,Frequency_score,Affordability_score,Integration_score,Reliability_score,NMT_score,City_Score,Recommended_PT_System,Recommended_PT_Reason
Punjab,Moga,Moga,30.82,75.17,163397,1235,132.31,Short Trips (IPT/Bus Focus),330.043,0.2672,10.97,6.58,1.95,6.777,53823,3268,71208,95,90.2,19,5,100,79.93,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 163,397, density 132.31, NA% short trips, and NA% medium trips."
Punjab,Firozpur,Firozpur,30.92,74.61,110313,1293,85.32,Short Trips (IPT/Bus Focus),329.11,0.2545,9.07,7.44,1.72,6.779,37198,4148,54715,39.9,91.4,18.5,60.1,100,74.55,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 110,313, density 85.32, NA% short trips, and NA% medium trips."
Punjab,Firozpur,Abohar,30.13,74.2,145302,1209,120.18,Short Trips (IPT/Bus Focus),377.138,0.3119,10.32,6.93,1.89,6.365,56522,2848,76051,100,90.6,20.5,0,100,80.64,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 145,302, density 120.18, NA% short trips, and NA% medium trips."
Punjab,Muktsar,Muktsar,30.7,76.72,116747,885,131.92,Short Trips (IPT/Bus Focus),59.825,0.0676,9.8,7.61,1.62,7.983,51042,2428,57183,76.6,91.9,21.8,23.4,100,78.63,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 116,747, density 131.92, NA% short trips, and NA% medium trips."
Punjab,Bathinda,Bathinda,30.21,74.95,285788,1512,189.01,Short Trips (IPT/Bus Focus),740.329,0.4896,9.2,6.69,1.85,7.818,123289,17319,125061,100,90.8,22.5,0,100,80.87,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 285,788, density 189.01, NA% short trips, and NA% medium trips."
Punjab,Patiala,Patiala,30.34,76.38,446246,1148,388.72,Short Trips (IPT/Bus Focus),801.827,0.6985,11.95,5.73,2.23,6.863,171269,8925,246596,100,88.8,21.4,0,100,80.46,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 446,246, density 388.72, NA% short trips, and NA% medium trips."
Punjab,Amritsar,Amritsar,31.63,74.87,1155664,562,2056.34,Short Trips (IPT/Bus Focus),339.778,0.6046,25.94,6.82,2.05,5.312,846871,81359,280133,48.6,89.8,44.1,51.4,100,77.74,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,155,664, density 2056.34, NA% short trips, and NA% medium trips."
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,30.7,76.72,166864,187,892.32,Short Trips (IPT/Bus Focus),47.195,0.2524,9.5,6.2,2.11,6.312,62441,3104,79327,100,89.4,19.4,0,100,80.35,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 166,864, density 892.32, NA% short trips, and NA% medium trips."
Punjab,Sangrur,Malerkotla,30.53,75.89,135424,684,197.99,Short Trips (IPT/Bus Focus),248.065,0.3627,12.22,5.76,2.2,7.127,53709,2817,76325,100,89,22.1,0,100,80.56,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 135,424, density 197.99, NA% short trips, and NA% medium trips."
Punjab,Barnala,Barnala,30.37,75.53,116449,898,129.68,Short Trips (IPT/Bus Focus),296.232,0.3299,9.3,7.33,1.71,7.526,42853,2445,52123,51.4,91.4,19.2,48.6,100,75.77,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 116,449, density 129.68, NA% short trips, and NA% medium trips."
Chandigarh,Chandigarh,Chandigarh,30.74,76.77,970602,114,8514.05,Short Trips (IPT/Bus Focus),59.278,0.52,21.3,6.87,2.1,4.899,664086,20383,323599,100,89.5,37.7,0,100,82.2,Bus System + IPT (dedicated lanes on major corridors),"Based on population 970,602, density 8514.05, NA% short trips, and NA% medium trips."
Uttarakhand,Dehradun,Dehradun,30.32,78.03,574840,300,1916.13,Short Trips (IPT/Bus Focus),211.457,0.7049,21.58,7.11,1.91,5.591,423657,13221,206827,56.6,90.4,39.7,43.4,98.5,78.04,Bus System + IPT (dedicated lanes on major corridors),"Based on population 574,840, density 1916.13, NA% short trips, and NA% medium trips."
Uttarakhand,Nainital,Haldwani,29.22,79.51,201461,44,4578.66,Short Trips (IPT/Bus Focus),27.504,0.6251,10.71,7.3,1.78,6.448,79295,4110,102503,65.2,91.1,20.9,34.8,100,77.28,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 201,461, density 4578.66, NA% short trips, and NA% medium trips."
Uttarakhand,Udham Singh Nagar,Kashipur,29.21,78.96,121623,200,608.12,Short Trips (IPT/Bus Focus),55.074,0.2754,9.76,7.05,1.77,7.539,44660,2651,59060,68.7,91.2,19.5,31.3,100,77.5,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 121,623, density 608.12, NA% short trips, and NA% medium trips."
Uttarakhand,Udham Singh Nagar,Rudrapur,28.98,79.4,154554,27,5724.22,Short Trips (IPT/Bus Focus),16.794,0.622,11.88,6.8,1.88,6.847,50601,4142,78977,53.3,90.6,19.7,46.7,100,75.89,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 154,554, density 5724.22, NA% short trips, and NA% medium trips."
Uttarakhand,Hardwar,Roorkee,29.85,77.89,118200,1067,110.78,Short Trips (IPT/Bus Focus),652.755,0.6118,11.85,6.03,2.16,6.414,49739,2459,57351,50.6,89.2,22.6,49.4,100,75.7,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 118,200, density 110.78, NA% short trips, and NA% medium trips."
Uttarakhand,Hardwar,Hardwar,29.95,78.16,231338,903,256.19,Short Trips (IPT/Bus Focus),561.517,0.6218,8.74,7.24,1.74,7.309,83189,4719,114235,100,91.3,18.5,0,100,80.54,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 231,338, density 256.19, NA% short trips, and NA% medium trips."
Haryana,Panchkula,Panchkula,30.7,76.85,211355,641,329.73,Short Trips (IPT/Bus Focus),482.611,0.7529,8.75,6.42,2.04,6.267,89361,4016,94602,100,89.8,20.6,0,100,80.53,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 211,355, density 329.73, NA% short trips, and NA% medium trips."
Haryana,Ambala,Ambala,30.38,76.78,195153,736,265.15,Short Trips (IPT/Bus Focus),231.83,0.315,11.8,5.76,2.22,6.897,76383,8353,99177,91.7,88.9,22.3,8.3,100,79.74,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 195,153, density 265.15, NA% short trips, and NA% medium trips."
Haryana,Ambala,Ambala Sadar,30.33,76.84,104974,0,0,Short Trips (IPT/Bus Focus),5.176,0,12.18,6.51,1.98,6.684,42892,2057,56791,53.6,90.1,22.4,46.4,100,56.12,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 104,974, density 0.0, NA% short trips, and NA% medium trips."
Haryana,Yamunanagar,Jagadhri,30.17,77.3,124894,840,148.68,Short Trips (IPT/Bus Focus),309.944,0.369,11.08,6.9,1.86,6.898,41115,7668,64220,54.8,90.7,20.4,45.2,100,76.12,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 124,894, density 148.68, NA% short trips, and NA% medium trips."
Haryana,Yamunanagar,Yamunanagar,30.12,77.28,217071,0,0,Short Trips (IPT/Bus Focus),5.461,0,8.72,6.57,2.09,5.604,74021,4341,106712,79.3,89.6,17.8,20.7,100,58.15,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 217,071, density 0.0, NA% short trips, and NA% medium trips."
Haryana,Kurukshetra,Thanesar,29.96,76.82,155152,801,193.7,Short Trips (IPT/Bus Focus),370.996,0.4632,10.09,6.82,1.91,6.51,62712,3196,77235,91.8,90.4,20.9,8.2,100,79.83,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 155,152, density 193.7, NA% short trips, and NA% medium trips."
Haryana,Kaithal,Kaithal,29.8,76.38,144915,1280,113.21,Short Trips (IPT/Bus Focus),431.966,0.3375,9.68,6.94,1.82,7.216,55068,2985,72023,91.8,90.9,19.8,8.2,100,79.8,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 144,915, density 113.21, NA% short trips, and NA% medium trips."
Haryana,Karnal,Karnal,29.69,76.99,302140,830,364.02,Short Trips (IPT/Bus Focus),412.054,0.4965,11.32,6.93,1.92,6.053,137111,5862,150828,100,90.4,23.3,0,100,80.89,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 302,140, density 364.02, NA% short trips, and NA% medium trips."
Haryana,Panipat,Panipat,29.4,76.98,295970,536,552.18,Short Trips (IPT/Bus Focus),122.657,0.2288,8.3,5.74,2.2,7.381,100452,5919,134370,100,89,17.5,0,100,80.1,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 295,970, density 552.18, NA% short trips, and NA% medium trips."
Haryana,Sonipat,Sonipat,28.93,77.09,289333,708,408.66,Short Trips (IPT/Bus Focus),269.337,0.3804,10.82,6.5,2.02,6.39,119842,6134,134019,100,89.9,21.7,0,100,80.66,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 289,333, density 408.66, NA% short trips, and NA% medium trips."
Haryana,Jind,Jind,29.32,76.32,167592,817,205.13,Short Trips (IPT/Bus Focus),484.496,0.593,6.88,6.64,1.85,8.041,70556,3352,83260,68.3,90.8,19.3,31.7,100,77.38,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 167,592, density 205.13, NA% short trips, and NA% medium trips."
Haryana,Sirsa,Sirsa,29.54,75.03,182534,2069,88.22,Short Trips (IPT/Bus Focus),886.974,0.4287,11.9,6.12,2.04,7.435,76774,3614,95721,100,89.8,22.6,0,100,80.73,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 182,534, density 88.22, NA% short trips, and NA% medium trips."
Haryana,Hisar,Hisar,29.15,75.7,307024,2234,137.43,Short Trips (IPT/Bus Focus),990.314,0.4433,8.18,6.73,1.95,6.399,123117,5772,159652,100,90.2,19.4,0,100,80.47,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 307,024, density 137.43, NA% short trips, and NA% medium trips."
Haryana,Bhiwani,Bhiwani,28.8,76.13,196057,960,204.23,Short Trips (IPT/Bus Focus),466.571,0.486,9.73,6.11,2.18,6.109,66738,11881,104420,85.2,89.1,19.9,14.8,100,78.88,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 196,057, density 204.23, NA% short trips, and NA% medium trips."
Haryana,Rohtak,Rohtak,28.9,76.61,374292,937,399.46,Short Trips (IPT/Bus Focus),523.132,0.5583,10.04,5.34,2.45,6.418,138189,7486,195231,100,87.8,19.7,0,100,80.14,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 374,292, density 399.46, NA% short trips, and NA% medium trips."
Haryana,Jhajjar,Bahadurgarh,28.68,76.92,170767,517,330.3,Short Trips (IPT/Bus Focus),106.44,0.2059,8.75,7.02,1.85,6.592,68273,3449,75821,95.3,90.8,19.8,4.7,100,80.13,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 170,767, density 330.3, NA% short trips, and NA% medium trips."
Haryana,Rewari,Rewari,28.18,76.62,143021,999,143.16,Short Trips (IPT/Bus Focus),529.527,0.5301,11.63,6.24,2.07,6.692,57752,2832,81064,47.5,89.6,21.9,52.5,100,75.38,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 143,021, density 143.16, NA% short trips, and NA% medium trips."
Haryana,Gurgaon,Gurgaon,28.46,77.03,886519,333,2662.22,Short Trips (IPT/Bus Focus),175.12,0.5259,22.49,7.24,1.81,6.37,607443,16844,336877,100,91,38.5,0,100,82.5,Bus System + IPT (dedicated lanes on major corridors),"Based on population 886,519, density 2662.22, NA% short trips, and NA% medium trips."
Haryana,Faridabad,Faridabad,28.42,77.3,1414050,351,4028.63,Short Trips (IPT/Bus Focus),237.221,0.6758,26.94,7.24,1.95,5.144,1018399,80318,354927,38,90.2,43.9,62,97.4,76.46,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 1,414,050, density 4028.63, NA% short trips, and NA% medium trips."
Haryana,Palwal,Palwal,28.15,77.33,131926,619,213.13,Short Trips (IPT/Bus Focus),333.794,0.5392,12.23,7.02,1.82,6.774,50026,2718,65857,54.6,90.9,21.5,45.4,100,76.24,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 131,926, density 213.13, NA% short trips, and NA% medium trips."
Delhi,North West,DMC,0,0,11007835,0,0,Long Trips (Metro/BRT Focus),273.505,0,56.52,9.43,1.96,3.283,8308714,4304063,1618152,97.5,90.2,75.9,2.5,55.4,61.41,Integrated Metro + Bus + IPT + Non-Motorised Transport (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 11,007,835, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North West,Kirari Suleman Nagar,28.69,77.06,283211,0,0,Short Trips (IPT/Bus Focus),5.332,0,9.8,5.74,2.28,6.291,102636,24469,145740,100,88.6,21.5,0,100,60.44,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 283,211, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North West,Sultan Pur Majra,28.67,77.07,181554,0,0,Short Trips (IPT/Bus Focus),5.419,0,11.8,6.66,1.86,7.864,71423,8170,90777,52.3,90.7,22.5,47.7,100,56.08,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 181,554, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North West,Bhalswa Jahangir Pur,28.73,77.16,197148,0,0,Short Trips (IPT/Bus Focus),4.165,0,11.77,6.48,2.02,6.305,78820,3667,91832,100,89.9,21.8,0,100,60.66,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 197,148, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North,Burari,28.75,77.18,146190,0,0,Short Trips (IPT/Bus Focus),3.409,0,9.44,5.59,2.31,6.763,64528,2865,82948,100,88.4,21.7,0,100,60.43,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 146,190, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North East,Karawal Nagar,28.72,77.27,224281,0,0,Short Trips (IPT/Bus Focus),4.904,0,10.7,5.34,2.4,6.966,85989,4261,108462,100,88,20.5,0,100,60.25,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 224,281, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North East,Mustafabad,28.71,77.27,127167,0,0,Short Trips (IPT/Bus Focus),7.419,0,9.65,6.69,1.97,6.149,54606,14777,65008,65.5,90.2,24.6,34.5,100,57.54,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 127,167, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North East,Gokal Pur,28.67,77.26,121870,0,0,Short Trips (IPT/Bus Focus),5.507,0,9.36,6.63,2.02,5.962,48626,9896,67150,100,89.9,22.2,0,100,60.7,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 121,870, density 0.0, NA% short trips, and NA% medium trips."
Delhi,North East,Mandoli,0,0,120417,0,0,Short Trips (IPT/Bus Focus),5.407,0,9.08,6.14,2.17,5.982,55368,2577,54212,66.4,89.2,22.1,33.6,100,57.23,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 120,417, density 0.0, NA% short trips, and NA% medium trips."
Delhi,East,Dallo Pura,28.6,77.32,154791,0,0,Short Trips (IPT/Bus Focus),5.823,0,10.77,5.97,2.13,7.061,61483,2972,83928,52,89.4,21.1,48,100,55.72,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 154,791, density 0.0, NA% short trips, and NA% medium trips."
Delhi,West,Hastsal,28.63,77.05,176877,0,0,Short Trips (IPT/Bus Focus),5.108,0,10.42,7.68,1.68,6.698,76340,3608,80231,88.1,91.6,22,11.9,100,59.75,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 176,877, density 0.0, NA% short trips, and NA% medium trips."
Delhi,West,Nangloi Jat,28.66,77.06,205596,50,4111.92,Short Trips (IPT/Bus Focus),17.865,0.3573,11.4,5.03,2.6,6.3,70848,4112,103250,92.4,87,19.8,7.6,100,79.27,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 205,596, density 4111.92, NA% short trips, and NA% medium trips."
Delhi,South West,Delhi Cantonment,28.6,77.13,101704,43,2365.21,Short Trips (IPT/Bus Focus),27.836,0.6473,9.57,5.96,2.25,5.998,41658,1953,46825,59.5,88.8,20.7,40.5,100,76.34,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 101,704, density 2365.21, NA% short trips, and NA% medium trips."
Delhi,South,Deoli,28.5,77.23,169122,0,0,Short Trips (IPT/Bus Focus),4.798,0,7.12,7.29,1.76,6.79,77762,3619,76781,76.5,91.2,20.8,23.5,100,58.41,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 169,122, density 0.0, NA% short trips, and NA% medium trips."
Rajasthan,Ganganagar,Ganganagar,29.92,73.88,237780,225,1056.8,Short Trips (IPT/Bus Focus),110.563,0.4914,8.48,5.2,2.48,6.597,101865,8132,132919,100,87.6,21.1,0,100,80.25,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 237,780, density 1056.8, NA% short trips, and NA% medium trips."
Rajasthan,Hanumangarh,Hanumangarh,29.63,74.29,150958,0,0,Short Trips (IPT/Bus Focus),5.229,0,8.75,6.16,2.05,7.264,69531,3291,74181,57.2,89.8,21.9,42.8,100,56.38,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 150,958, density 0.0, NA% short trips, and NA% medium trips."
Rajasthan,Bikaner,Bikaner,28.03,73.3,644406,3699,174.21,Short Trips (IPT/Bus Focus),2229.832,0.6028,23.93,6.94,1.9,6.165,452631,12373,228120,61,90.5,40,39,92.3,77.91,Bus System + IPT (dedicated lanes on major corridors),"Based on population 644,406, density 174.21, NA% short trips, and NA% medium trips."
Rajasthan,Churu,Churu,28.29,74.97,120157,1607,74.77,Short Trips (IPT/Bus Focus),894.293,0.5565,10.76,6.69,1.99,6.059,57820,2259,59574,65.5,90,23.8,34.5,100,77.43,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 120,157, density 74.77, NA% short trips, and NA% medium trips."
Rajasthan,Churu,Sujangarh,27.7,74.45,101523,2689,37.75,Short Trips (IPT/Bus Focus),1193.335,0.4438,9.28,7.09,1.9,5.805,39046,1909,49645,46.9,90.5,19.6,53.1,100,75.22,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 101,523, density 37.75, NA% short trips, and NA% medium trips."
Rajasthan,Jhunjhunun,Jhunjhunun,28.13,75.4,118473,1619,73.18,Short Trips (IPT/Bus Focus),802.59,0.4957,9.38,5.78,2.25,6.557,45138,3459,62246,43,88.8,19.9,57,100,74.61,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 118,473, density 73.18, NA% short trips, and NA% medium trips."
Rajasthan,Alwar,Bhiwadi,28.22,76.87,104921,0,0,Short Trips (IPT/Bus Focus),5.497,0,11.3,6.3,2.13,5.98,40688,2182,50005,38.2,89.4,21.2,61.8,100,54.35,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 104,921, density 0.0, NA% short trips, and NA% medium trips."
Rajasthan,Alwar,Alwar,27.56,76.63,322568,1202,268.36,Short Trips (IPT/Bus Focus),571.503,0.4755,9.82,6.83,1.92,6.277,117995,6322,165929,100,90.4,19.4,0,100,80.5,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 322,568, density 268.36, NA% short trips, and NA% medium trips."
Rajasthan,Bharatpur,Bharatpur,27.22,77.49,252838,501,504.67,Short Trips (IPT/Bus Focus),176.568,0.3524,10.76,6.98,1.83,6.937,83234,5208,126368,100,90.8,18.8,0,100,80.5,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 252,838, density 504.67, NA% short trips, and NA% medium trips."
Rajasthan,Dhaulpur,Dhaulpur,26.7,77.9,133075,524,253.96,Short Trips (IPT/Bus Focus),221.614,0.4229,9.86,6.15,2.13,6.278,42185,6840,73963,76.7,89.4,18.9,23.3,100,77.97,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 133,075, density 253.96, NA% short trips, and NA% medium trips."
Rajasthan,Karauli,Hindaun,26.73,77.03,105452,701,150.43,Short Trips (IPT/Bus Focus),265.725,0.3791,10.77,6.99,1.95,5.74,38511,2004,54645,42,90.2,20,58,100,74.73,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 105,452, density 150.43, NA% short trips, and NA% medium trips."
Rajasthan,Sawai Madhopur,Gangapur City,26.47,76.71,119090,16.21,7346.7,Short Trips (IPT/Bus Focus),10.853,0.6695,9.1,6.49,2,6.528,42467,2811,65047,43.9,90,18.7,56.1,100,74.76,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 119,090, density 7346.7, NA% short trips, and NA% medium trips."
Rajasthan,Sawai Madhopur,Sawai Madhopur,25.99,76.36,121106,59,2052.64,Short Trips (IPT/Bus Focus),21.066,0.3571,12,6.67,2.04,5.725,44688,6540,53311,81.2,89.8,22.1,18.8,100,78.8,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 121,106, density 2052.64, NA% short trips, and NA% medium trips."
Rajasthan,Jaipur,Jaipur,26.92,75.78,3073350,579,5308.03,Long Trips (Metro/BRT Focus),383.636,0.6626,24.44,7.53,1.74,6.369,2384305,152438,668146,100,91.3,43.8,0,97.8,82.85,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors),"Based on population 3,073,350, density 5308.03, NA% short trips, and NA% medium trips."
Rajasthan,Sikar,Sikar,27.62,75.13,244497,1516,161.28,Short Trips (IPT/Bus Focus),918.484,0.6059,8.52,6.21,2.14,6.053,82395,15843,136772,100,89.3,19.1,0,100,80.3,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 244,497, density 161.28, NA% short trips, and NA% medium trips."
Rajasthan,Nagaur,Nagaur,27.21,73.74,105218,3056,34.43,Short Trips (IPT/Bus Focus),1672.183,0.5472,10.55,6.45,2.02,6.433,39330,2189,52883,60.5,89.9,20.2,39.5,100,76.56,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 105,218, density 34.43, NA% short trips, and NA% medium trips."
Rajasthan,Jodhpur,Jodhpur,26.26,73.01,1056191,1968,536.68,Long Trips (Metro/BRT Focus),626.992,0.3186,23.48,8,1.79,4.944,762570,26405,268695,40.2,91,40.6,59.8,87.2,75.45,Bus + BRT/Trolley + IPT (plan Metro/LRT corridors) (low density: prefer Bus/BRT + IPT; metro less efficient),"Based on population 1,056,191, density 536.68, NA% short trips, and NA% medium trips."
Rajasthan,Pali,Pali,25.77,73.32,230075,1657,138.85,Short Trips (IPT/Bus Focus),903.361,0.5452,12.38,6.02,2.16,6.429,85772,9203,105144,100,89.2,22,0,100,80.58,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 230,075, density 138.85, NA% short trips, and NA% medium trips."
Rajasthan,Ajmer,Kishangarh,26.59,74.87,154886,1715,90.31,Short Trips (IPT/Bus Focus),648.186,0.378,11.42,6.22,1.98,8.076,62295,5359,74996,81.2,90.1,22.2,18.8,100,78.85,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 154,886, density 90.31, NA% short trips, and NA% medium trips."
Rajasthan,Ajmer,Ajmer,26.45,74.64,542321,897,604.59,Short Trips (IPT/Bus Focus),540.547,0.6026,27.42,6.78,2.02,5.628,381902,10738,201093,100,89.9,42.4,0,100,82.72,Bus System + IPT (dedicated lanes on major corridors),"Based on population 542,321, density 604.59, NA% short trips, and NA% medium trips."
Rajasthan,Ajmer,Beawar,26.1,74.32,151152,687,220.02,Short Trips (IPT/Bus Focus),203.791,0.2966,9.54,6.2,2.11,6.281,60310,2932,70558,69.6,89.4,20.3,30.4,100,77.4,IPT + Mini/Small Buses + Walking & Cycling,"Based on population 151,152, density 220.02, NA% short trips, and NA% medium trips."
